100000 200000
38130 38131 432
65839 73979 8493
35453 35454 494
99 98987 7902
38440 38441 29
122 98824 1345
21364 52327 2490
16914 16915 766
200 98854 6151
38135 72909 2439
1503 1504 217
97334 97335 67
44704 44705 101
42646 42647 299
18829 99298 2828
52493 52494 652
35370 35371 842
30 98990 4571
21172 21173 496
22571 22572 7
74521 74522 785
29285 29286 92
25722 63793 5686
33718 38278 5832
33350 33351 131
21923 21924 513
34 98852 2993
54239 96746 7124
39659 39660 142
80256 80257 9
192 98964 3173
30501 30502 758
31331 31332 466
17454 48043 7279
23145 23146 50
181 98852 9782
36110 36111 143
22 98920 7441
8811 8812 814
41498 41499 44
29918 29919 46
79905 79906 631
63016 63017 293
30250 30251 651
44653 44654 457
96 98877 1851
47306 47307 502
856 25188 3588
19693 19694 873
42180 46359 3561
72363 72364 524
9438 9439 206
44073 78584 4501
15055 15056 300
23880 23881 756
120 98900 8696
9 98861 8631
9061 42943 1999
182 98956 8311
18 98981 1491
70979 70980 459
16667 74794 7822
33988 33989 425
53165 80256 5539
81 98984 7215
55515 55516 708
31637 31638 457
75452 76203 3166
41812 41813 433
33947 53560 8541
26079 26080 94
196 98959 3843
32 98936 6242
57917 70954 3893
54946 54947 724
35026 84026 2753
109 98950 5615
101 98870 9131
11631 11632 449
179 98920 9701
45392 45393 216
20 98860 1970
35664 70333 9782
157 98965 2621
18172 60039 5867
79605 79606 199
80062 80063 252
5259 5260 107
3843 99589 1305
124 98911 2621
58653 85171 4436
14933 14934 441
55687 55688 499
46694 46695 644
23 98953 4262
21497 21498 438
55914 85592 6556
32217 32218 810
32048 32049 469
42470 54573 6674
180 98888 2507
37227 44025 6660
21819 21820 663
1974 1975 362
83775 83776 806
21268 38699 9190
73423 73424 87
8418 8419 885
12301 12302 45
44915 49724 3002
77823 77824 27
30257 30258 565
41753 41754 163
55 98878 7130
8 98871 9909
25879 25880 550
20805 47115 5227
47305 47306 629
93432 93433 35
32368 50273 5933
186 98986 4855
155 98857 3978
28167 28168 75
73168 99806 9371
48508 69472 8362
19157 58626 7218
47667 56475 2290
5097 5098 145
42484 72999 8444
51246 51247 16
87127 87128 13
22673 22674 502
63592 63593 785
178 98860 9074
30 98837 3216
74549 74550 659
78755 78756 491
60 98831 1920
114 98970 7971
95189 95190 360
26614 26615 549
54536 92368 9998
21839 21840 623
12338 18288 6890
52657 52658 563
7542 7543 163
85525 85526 729
76293 76294 769
53 98942 2758
56643 56644 325
45 98878 1195
66975 66976 876
106 98876 3193
3201 3202 276
184 98930 3210
63892 63893 232
7071 7072 491
13273 13274 566
96037 96038 892
8710 68557 7290
17546 85434 7961
29357 29358 586
55918 55919 699
63463 63464 820
26236 26237 287
35392 96086 5181
17944 67495 2559
71100 71101 12
18 98840 9204
34528 86675 7062
16063 68869 6171
86735 95690 6579
6793 6794 618
77630 77631 54
26884 63541 8174
6226 6227 235
22406 41939 8535
185 98966 9053
67910 76732 2114
165 98984 6277
4689 4690 635
81 98853 8454
78907 82906 3919
36710 36711 37
18519 74069 5889
64627 66606 6762
19219 81285 9823
71064 71065 578
7471 72455 7702
94962 94963 400
61139 91669 4743
12218 44460 8609
20 98999 9257
22472 85100 2415
188 98941 5452
104 98912 4704
75021 75022 288
66802 99642 5278
55645 61630 1224
43779 81097 8031
20062 20063 189
93 99000 1224
92287 92288 827
31167 93098 5227
13408 13409 315
11448 11449 56
83080 83081 391
41583 41584 521
33899 33900 625
16508 87382 1134
82217 82218 202
94748 94749 436
56402 56403 336
16 98900 5219
69462 92033 2368
51611 51612 255
26653 59333 3649
11041 11042 478
85 98906 8547
77021 77022 81
7940 7941 708
49325 49326 447
163 98836 3191
57 98809 4629
10409 10410 896
54898 54899 99
13903 23050 9612
68 98975 5332
5303 5304 792
54223 56495 4432
49408 49409 610
16752 24582 3957
8 98978 8399
97453 97454 679
82663 82664 91
94618 94619 304
108 98931 4008
1690 1691 66
186 98865 9206
5626 20839 2751
22610 22611 601
155 98978 6556
29245 29246 380
195 98981 7588
55354 55355 747
76913 86150 1825
58325 58326 29
60 98941 3553
35635 35636 883
39 98870 4623
65848 65849 124
31809 31810 32
88230 88231 253
13168 13169 624
3308 3309 587
114 98833 1480
19686 67243 4441
83 98850 7248
2773 49034 5684
8928 31268 8518
17183 76451 3471
50880 70492 8303
77423 77424 453
9982 67163 2827
91152 91153 42
4038 82953 2618
170 98974 2936
53540 72681 4405
139 98981 5079
27396 86286 9068
14 15 620
17802 50261 8214
37119 81836 3808
45 98995 1211
190 98852 9658
50245 50246 441
6383 37882 5985
35445 41209 1490
77786 77787 359
95472 95473 77
52505 52506 227
74447 74448 224
1376 48724 7318
193 98929 2170
43224 43225 691
89 98816 2917
53255 66303 1879
94386 94387 599
6 98993 9158
60240 62055 6744
63749 71536 4485
82140 82141 726
30750 30751 861
29122 29644 6671
185 98851 3372
112 98893 2427
8385 40404 4595
121 98801 5059
58751 66052 7202
90 98912 5460
28614 71498 2217
59717 59718 67
69894 90607 8356
4235 73371 1427
38532 38533 442
50480 50481 70
3209 3210 829
14138 30936 9139
18341 18342 316
887 9163 6075
29978 77065 2036
40563 59611 1264
113 98915 3767
53250 53251 674
93 98829 3977
28617 83858 5990
160 98876 7214
17386 47734 8716
26684 26685 119
63842 63843 704
4 98917 4375
65 98929 5426
24717 24718 450
74436 74437 73
176 98933 6406
166 98830 3803
74319 74320 219
116 98928 3771
11786 11787 662
52371 76486 1193
163 98945 2698
17935 17936 891
172 98897 1772
88 98860 3296
68 98818 4474
74111 76881 8471
23001 44316 1687
20737 20738 749
31476 97207 8015
23959 23960 139
60373 70557 4871
42797 42798 267
58689 89021 9044
19103 22367 4437
195 98862 9764
26776 50451 7305
91 98881 1060
42198 42199 434
93380 93381 74
78612 78613 713
85513 85514 333
1986 1987 784
19472 99672 7711
3083 3084 646
77953 88801 6629
74176 74177 701
60954 60955 39
50839 89169 8502
42785 61146 3482
187 98924 9074
83 98991 8005
332 90052 2350
18170 32452 3990
5178 29904 2256
92 98855 1001
40443 40444 728
170 98821 1358
66614 66615 750
139 98910 9923
80284 80285 122
14 98994 8963
70713 70714 561
4164 55150 4461
44 98897 6056
36175 36176 273
48007 98390 1556
54100 66288 3014
625 626 296
72042 72043 494
58054 58055 600
68230 68231 424
86876 86877 863
67628 67629 836
91819 91820 225
52795 73461 9124
162 98935 8908
87204 87205 43
37 98901 9456
59065 78644 5704
6 98860 2543
98 98885 7120
67 98862 5863
20336 20337 115
22557 22558 633
60005 85511 5042
52368 80407 2053
67207 94937 9184
23977 23978 102
31502 31503 853
36829 52365 9657
4535 4536 349
21659 81307 2248
8690 90743 9067
12699 87927 2272
121 98942 6684
47981 47982 506
60783 60784 830
77100 77101 317
9867 26236 3986
28535 28536 868
49544 49545 767
20688 78368 3800
83 84 98
12581 33813 7365
54021 61211 5989
12 98890 7047
51759 70981 7931
73 98892 8111
21 98804 2789
12138 12139 337
50075 68998 5717
113 98968 8924
124 98808 4502
43701 54933 2475
91404 91405 59
18591 33329 7110
19861 65705 5180
11755 34745 1789
152 98954 6795
46584 51988 9160
84384 84385 534
20933 20934 64
51669 51670 718
79415 79416 91
32322 32323 551
88 98999 4990
54906 54907 383
14987 14988 99
77 98881 7469
43570 43571 34
14958 47024 2704
8277 8278 695
15495 15496 571
29591 42472 3989
34918 34919 47
27 98819 6653
7737 7738 674
8396 8397 359
15606 25027 9713
39746 39747 751
27778 66618 5775
62523 62524 482
20234 56415 8392
12842 12843 466
75036 75037 117
100 98820 7063
91346 91347 813
147 98893 9106
76785 76786 314
49656 49657 147
4598 14946 2569
52 98902 6806
54411 54412 587
85672 85673 290
4473 67660 4966
83205 83206 60
14071 14072 882
16336 16337 628
98983 98984 878
46876 46877 334
14969 39511 5477
1716 32941 7613
49705 98948 2369
45098 90993 9448
20893 20894 799
14 98873 2438
75 98877 1706
95091 95092 56
93455 93456 207
36 98980 5472
35324 35325 493
83499 83500 488
36976 36977 381
131 98956 6965
48173 48174 124
42531 42532 400
64330 64331 499
21334 50130 4407
16095 84471 7243
58857 59962 8049
4778 39392 3214
67 98971 6318
68705 68706 333
42068 95590 6358
36274 55080 3787
3535 7992 3567
33669 33670 839
86 98820 4534
21319 38078 2960
69297 69298 316
74783 74784 785
22401 22402 182
87033 87034 44
121 98955 8822
46240 68710 7740
81044 81045 756
31556 31557 688
92874 92875 607
50225 50226 46
18009 18010 680
59165 59166 314
18996 23142 3324
15034 94311 3519
176 98925 8150
68699 68700 187
82 98937 3418
38608 49092 7703
32997 32998 496
11145 11146 440
31700 54460 9010
9038 9039 256
33580 33581 711
74822 74823 567
6039 6040 520
25661 25662 609
161 98815 6681
73313 73314 221
1897 1898 603
12522 75830 4394
13926 13927 581
